"quad","year","species","count","cover"
"C2RP",1923,"Sphaeralcea spp.",3,"NA"
"C2RP",1923,"Unknown","NA",0.07
"C2RP",1923,"Weed","NA",0.03
"C2RP",1927,"Aristida adscensionis","NA",0.05
"C2RP",1927,"Bouteloua aristidoides","NA",0.05
"C2RP",1934,"Annual grass","NA",0.15
"C3P",1915,"Annual grass",2,"NA"
"C3P",1920,"Aristida adscensionis","NA","t"
"C3P",1920,"Bouteloua aristidoides","NA","t"
"C3P",1920,"Bouteloua parryi","NA","t"
"C3P",1920,"Eriogonum wrightii",6,"NA"
"C3P",1920,"Evolvulus arizonicus",1,"NA"
"C3P",1920,"Sida spinosa",1,"NA"
"C3P",1922,"Aristida adscensionis","NA",0.02
"C3P",1922,"Bouteloua aristidoides","NA",0.02
"C3P",1924,"Sida abutifolia",5,"NA"
"C3P",1927,"Amaranthus palmeri",10,"NA"
"C3P",1927,"Ambrosia artemisiifolia",6,"NA"
"C3P",1927,"Evolvulus arizonicus",1,"NA"
"C3P",1927,"Sphaeralcea spp.",4,"NA"
"C3P",1927,"Unknown Forb",3,"NA"
"C3P",1928,"Annual grass","NA",0.05
"C3P",1929,"Amaranthus palmeri",19,"NA"
"C3P",1929,"Bouteloua aristidoides","NA",0.05
"C3P",1929,"Evolvulus arizonicus",2,"NA"
"C3P",1929,"Sphaeralcea spp.",7,"NA"
"C3P",1931,"Bouteloua aristidoides","NA",0.1
"C3P",1931,"Evolvulus arizonicus",2,"NA"
"C3P",1931,"Sphaeralcea spp.",6,"NA"
"C3P",1932,"Annual grass","NA",0.06
"C3P",1932,"Evolvulus arizonicus",1,"NA"
"C3P",1932,"Unknown",8,"NA"
"C4P",1920,"Unknown Forb",3,"NA"
"C4P",1923,"Sphaeralcea spp.",8,"NA"
"C4P",1923,"Weed","NA",0.05
"C4P",1927,"Aristida adscensionis","NA",0.1
"C4P",1927,"Bouteloua aristidoides","NA",0.1
"C4P",1927,"Unknown",1,"NA"
"C4P",1928,"Annual grass","NA",0.15
"C4P",1929,"Aristida adscensionis","NA",0.1
"C4P",1929,"Bouteloua aristidoides","NA",0.1
"C4P",1931,"Annual grass","NA",0.02
"C4P",1931,"Boerhavia purpurascens",10,"NA"
"C4P",1932,"Amaranthus palmeri",8,"NA"
"C4P",1932,"Aristolochia watsonii",1,"NA"
"C4P",1932,"Boerhavia purpurascens",2,"NA"
"C4P",1932,"Unknown",1,"NA"
"C5P",1923,"Weed","NA",0.1
"C5P",1924,"Solanum elaeagnifolium",1,"NA"
"C5P",1924,"Unknown Forb",1,"NA"
"C5P",1927,"Machaeranthera canescens",36,"NA"
"C5P",1927,"Sphaeralcea spp.",3,"NA"
"C5P",1928,"Sphaeralcea spp.",1,"NA"
"C5P",1929,"Solanum elaeagnifolium",1,"NA"
"C5P",1929,"Sphaeralcea spp.",17,"NA"
"C5P",1929,"Unknown",28,"NA"
"C5P",1930,"Machaeranthera canescens",16,"NA"
"C5P",1930,"Sphaeralcea spp.",4,"NA"
"C5P",1931,"Solanum elaeagnifolium",1,"NA"
"C5P",1931,"Sphaeralcea spp.",5,"NA"
"C5P",1931,"Unknown",8,"NA"
"C5P",1932,"Sphaeralcea spp.",2,"NA"
"D1P",1920,"Ambrosia artemisiifolia",13,"NA"
"D1P",1921,"Ambrosia artemisiifolia",5,"NA"
"D1P",1922,"Ambrosia artemisiifolia",1,"NA"
"D1P",1923,"Weed","NA",0.01
"D1P",1924,"Ambrosia artemisiifolia",1,"NA"
"D1P",1924,"Machaeranthera canescens",1,"NA"
"D1P",1924,"Sphaeralcea spp.",1,"NA"
"D1P",1924,"Unknown Forb",1,"NA"
"D1P",1927,"Aristida adscensionis","NA","t"
"D1P",1927,"Bouteloua aristidoides","NA","t"
"D1P",1927,"Machaeranthera canescens",2,"NA"
"D1P",1927,"Unknown Forb",3,"NA"
"D1P",1928,"Annual grass","NA",0.01
"D1P",1928,"Unknown Forb",8,"NA"
"D1P",1929,"Ambrosia artemisiifolia",1,"NA"
"D1P",1929,"Aristida adscensionis","NA","t"
"D1P",1929,"Bouteloua aristidoides","NA","t"
"D1P",1929,"Unknown",5,"NA"
"D1P",1931,"Ambrosia artemisiifolia",1,"NA"
"D1P",1931,"Unknown Forb",4,"NA"
"D1P",1932,"Ambrosia artemisiifolia",2,"NA"
"D2P",1920,"Sphaeralcea spp.",4,"NA"
"D2P",1922,"Evolvulus arizonicus",3,"NA"
"D2P",1922,"Sphaeralcea spp.",2,"NA"
"D2P",1922,"Unknown",11,"NA"
"D2P",1923,"Aristida adscensionis","NA",0.05
"D2P",1923,"Evolvulus arizonicus",5,"NA"
"D2P",1923,"Sphaeralcea spp.",3,"NA"
"D2P",1923,"Unknown","NA",0.05
"D2P",1924,"Evolvulus arizonicus",3,"NA"
"D2P",1924,"Sphaeralcea spp.",4,"NA"
"D2P",1926,"Aristida adscensionis",250,"NA"
"D2P",1926,"Evolvulus arizonicus",1,"NA"
"D2P",1927,"Aristida adscensionis","NA",0.01
"D2P",1927,"Sphaeralcea spp.",1,"NA"
"D2P",1927,"Weed",1,"NA"
"D2P",1928,"Annual grass","NA",0.07
"D2P",1929,"Annual grass","NA",0.05
"D2P",1929,"Sphaeralcea spp.",3,"NA"
"D2P",1931,"Sphaeralcea spp.",1,"NA"
"D2P",1932,"Evolvulus arizonicus",1,"NA"
"D2P",1932,"Unknown",1,"NA"
"D3P",1920,"Sida spinosa",4,"NA"
"D3P",1920,"Unknown",4,"NA"
"D3P",1920,"Unknown Forb",25,"NA"
"D3P",1922,"Unknown",6,"NA"
"D3P",1924,"Sphaeralcea spp.",5,"NA"
"D3P",1927,"Aristida adscensionis","NA",0.01
"D3P",1927,"Boerhavia purpurascens",1,"NA"
"D3P",1927,"Bouteloua aristidoides","NA",0.01
"D3P",1927,"Unknown Forb",6,"NA"
"D3P",1928,"Annual grass","NA","t"
"D3P",1928,"Unknown Forb",21,"NA"
"D3P",1929,"Aristida adscensionis","NA",0.03
"D3P",1929,"Bouteloua aristidoides","NA",0.03
"D3P",1929,"Sphaeralcea spp.",9,"NA"
"D3P",1932,"Euphorbia spp.","NA",0.01
"D3P",1932,"Evolvulus arizonicus",1,"NA"
"D3P",1932,"Machaeranthera canescens",1,"NA"
"D4P",1920,"Unknown Forb",3,"NA"
"D4P",1922,"Sphaeralcea spp.",1,"NA"
"D4P",1924,"Sphaeralcea spp.",1,"NA"
"D4P",1927,"Aristida adscensionis","NA",0.1
"D4P",1927,"Bouteloua aristidoides","NA",0.1
"D4P",1927,"Sphaeralcea spp.",3,"NA"
"D4P",1928,"Annual grass","NA",0.15
"D4P",1928,"Sphaeralcea spp.",1,"NA"
"D4P",1929,"Aristida adscensionis","NA",0.1
"D4P",1929,"Bouteloua aristidoides","NA",0.1
"D4P",1931,"Annual grass","NA",0.05
"D4P",1931,"Eriogonum wrightii",2,"NA"
"D4P",1931,"Sphaeralcea spp.",3,"NA"
"D4P",1931,"Unknown Forb",2,"NA"
"D4P",1932,"Annual grass","NA",0.02
"D4P",1932,"Boerhavia purpurascens",2,"NA"
"D4P",1932,"Unknown",16,"NA"
"D5P",1923,"Annual grass","NA","t"
"D5P",1923,"Weed","NA",0.03
"D5P",1924,"Machaeranthera canescens",3,"NA"
"D5P",1927,"Evolvulus arizonicus",1,"NA"
"D5P",1927,"Isocoma tenuisecta",1,"NA"
"D5P",1927,"Machaeranthera canescens",51,"NA"
"D5P",1927,"Sphaeralcea spp.",2,"NA"
"D5P",1929,"Eriogonum wrightii",1,"NA"
"D5P",1929,"Solanum elaeagnifolium",1,"NA"
"D5P",1929,"Sphaeralcea spp.",33,"NA"
"D5P",1929,"Unknown",30,"NA"
"D5P",1931,"Solanum elaeagnifolium",1,"NA"
"D5P",1931,"Sphaeralcea spp.",3,"NA"
"D5P",1931,"Unknown",2,"NA"
"E1P",1920,"Ambrosia artemisiifolia",10,"NA"
"E1P",1920,"Eriogonum wrightii",6,"NA"
"E1P",1920,"Unknown Forb",24,"NA"
"E1P",1922,"Ambrosia artemisiifolia",14,"NA"
"E1P",1922,"Evolvulus arizonicus",1,"NA"
"E1P",1922,"Unknown",2,"NA"
"E1P",1923,"Eragrostis intermedia","NA",0.01
"E1P",1924,"Eriogonum wrightii",6,"NA"
"E1P",1926,"Aristida adscensionis",60,"NA"
"E1P",1926,"Bouteloua aristidoides",450,"NA"
"E1P",1926,"Isocoma tenuisecta",3,"NA"
"E1P",1926,"Portulaca spp.",50,"NA"
"E1P",1926,"Prosopis velutina",1,"NA"
"E1P",1926,"Weed",1,"NA"
"E1P",1927,"Aristida adscensionis","NA",0.1
"E1P",1927,"Bouteloua aristidoides","NA",0.1
"E1P",1927,"Isocoma tenuisecta",7,"NA"
"E1P",1927,"Portulaca spp.",70,"NA"
"E1P",1928,"Annual grass","NA",0.03
"E1P",1929,"Aristida adscensionis","NA",0.03
"E1P",1929,"Boerhavia purpurascens",1,"NA"
"E1P",1929,"Sphaeralcea spp.",3,"NA"
"E1P",1931,"Bouteloua aristidoides","NA",0.06
"E1P",1932,"Annual grass","NA",0.05
"E1P",1933,"Annual grass","NA",0.1
"E1P",1933,"Unknown",1,"NA"
"E2P",1920,"Ambrosia artemisiifolia",47,"NA"
"E2P",1920,"Evolvulus arizonicus",2,"NA"
"E2P",1920,"Unknown Forb",3,"NA"
"E2P",1921,"Ambrosia artemisiifolia",20,"NA"
"E2P",1923,"Ambrosia artemisiifolia",2,"NA"
"E2P",1923,"Aristida adscensionis","NA",0.05
"E2P",1923,"Evolvulus arizonicus",6,"NA"
"E2P",1923,"Solanum elaeagnifolium",3,"NA"
"E2P",1923,"Sphaeralcea spp.",6,"NA"
"E2P",1924,"Ambrosia artemisiifolia",2,"NA"
"E2P",1924,"Unknown Forb",3,"NA"
"E2P",1927,"Ambrosia artemisiifolia",15,"NA"
"E2P",1927,"Aristida adscensionis","NA",0.05
"E2P",1927,"Boerhavia purpurascens",1,"NA"
"E2P",1927,"Bouteloua aristidoides","NA",0.05
"E2P",1927,"Evolvulus arizonicus",1,"NA"
"E2P",1927,"Isocoma tenuisecta",10,"NA"
"E2P",1927,"Solanum elaeagnifolium",2,"NA"
"E2P",1928,"Ambrosia artemisiifolia",17,"NA"
"E2P",1928,"Annual grass","NA","t"
"E2P",1928,"Solanum elaeagnifolium",2,"NA"
"E2P",1929,"Ambrosia artemisiifolia",12,"NA"
"E2P",1929,"Aristida adscensionis","NA",0.03
"E2P",1929,"Bouteloua aristidoides","NA",0.03
"E2P",1929,"Evolvulus arizonicus",1,"NA"
"E2P",1929,"Solanum elaeagnifolium",3,"NA"
"E2P",1931,"Bouteloua aristidoides","NA",0.03
"E2P",1931,"Evolvulus arizonicus",2,"NA"
"E2P",1931,"Solanum elaeagnifolium",2,"NA"
"E2P",1932,"Annual grass","NA",0.01
"E2P",1932,"Euphorbia spp.","NA","t"
"E2P",1932,"Evolvulus arizonicus",2,"NA"
"E2P",1932,"Solanum elaeagnifolium",3,"NA"
"E2P",1933,"Annual grass","NA","t"
"E2P",1933,"Evolvulus arizonicus",1,"NA"
"E2P",1933,"Solanum elaeagnifolium",6,"NA"
"E3P",1921,"Ambrosia artemisiifolia",6,"NA"
"E3P",1922,"Ambrosia artemisiifolia",5,"NA"
"E3P",1922,"Boerhavia purpurascens",1,"NA"
"E3P",1922,"Evolvulus arizonicus",6,"NA"
"E3P",1922,"Unknown",4,"NA"
"E3P",1923,"Evolvulus arizonicus",3,"NA"
"E3P",1923,"Isocoma tenuisecta",1,"NA"
"E3P",1924,"Ambrosia artemisiifolia",3,"NA"
"E3P",1927,"Ambrosia artemisiifolia",8,"NA"
"E3P",1927,"Aristida adscensionis","NA",0.05
"E3P",1927,"Bouteloua aristidoides","NA",0.05
"E3P",1927,"Eriogonum wrightii",3,"NA"
"E3P",1927,"Evolvulus arizonicus",4,"NA"
"E3P",1927,"Isocoma tenuisecta",6,"NA"
"E3P",1928,"Ambrosia artemisiifolia",7,"NA"
"E3P",1928,"Annual grass","NA",0.02
"E3P",1928,"Evolvulus arizonicus",8,"NA"
"E3P",1929,"Ambrosia artemisiifolia",3,"NA"
"E3P",1929,"Aristida adscensionis","NA",0.04
"E3P",1929,"Bouteloua aristidoides","NA",0.04
"E3P",1929,"Evolvulus arizonicus",3,"NA"
"E3P",1930,"Ambrosia artemisiifolia",3,"NA"
"E3P",1930,"Evolvulus arizonicus",6,"NA"
"E3P",1931,"Ambrosia artemisiifolia",2,"NA"
"E3P",1931,"Bouteloua aristidoides","NA","t"
"E3P",1931,"Evolvulus arizonicus",11,"NA"
"E3P",1932,"Ambrosia artemisiifolia",1,"NA"
"E3P",1932,"Euphorbia spp.",3,"NA"
"E3P",1932,"Evolvulus arizonicus",10,"NA"
"E3P",1932,"Unknown Forb",3,"NA"
"E4P",1920,"Eriogonum wrightii",20,"NA"
"E4P",1920,"Unknown Forb",20,"NA"
"E4P",1922,"Sphaeralcea spp.",5,"NA"
"E4P",1923,"Aristida adscensionis","NA",0.06
"E4P",1923,"Bouteloua aristidoides","NA",0.06
"E4P",1923,"Panicum hirticaule","NA",0.01
"E4P",1924,"Aristida adscensionis","NA",0.05
"E4P",1924,"Bouteloua aristidoides","NA",0.05
"E4P",1927,"Aristida adscensionis","NA",0.02
"E4P",1927,"Bouteloua aristidoides","NA",0.02
"E4P",1927,"Eschscholzia californica",1,"NA"
"E4P",1927,"Isocoma tenuisecta",1,"NA"
"E4P",1927,"Sphaeralcea spp.",5,"NA"
"E4P",1928,"Annuals","NA",0.05
"E4P",1928,"Boerhavia purpurascens",4,"NA"
"E4P",1928,"Sphaeralcea spp.",8,"NA"
"E4P",1929,"Aristida adscensionis","NA",0.03
"E4P",1929,"Bouteloua aristidoides","NA",0.03
"E4P",1930,"Aristida adscensionis","NA",0.01
"E4P",1932,"Annual grass","NA","t"
"E4P",1932,"Portulaca spp.",2,"NA"
"E5P",1920,"Aristida adscensionis","NA","t"
"E5P",1920,"Bouteloua aristidoides","NA","t"
"E5P",1920,"Eriogonum wrightii",18,"NA"
"E5P",1920,"Unknown Forb",3,"NA"
"E5P",1921,"Solanum elaeagnifolium",6,"NA"
"E5P",1922,"Ambrosia artemisiifolia",2,"NA"
"E5P",1922,"Boerhavia purpurascens",3,"NA"
"E5P",1922,"Solanum elaeagnifolium",8,"NA"
"E5P",1922,"Sphaeralcea spp.",4,"NA"
"E5P",1922,"Unknown",8,"NA"
"E5P",1923,"Aristida adscensionis","NA",0.05
"E5P",1923,"Bouteloua aristidoides","NA",0.05
"E5P",1924,"Evolvulus arizonicus",4,"NA"
"E5P",1924,"Unknown",4,"NA"
"E5P",1924,"Solanum elaeagnifolium",1,"NA"
"E5P",1924,"Sphaeralcea spp.",5,"NA"
"E5P",1924,"Unknown Forb",4,"NA"
"E5P",1927,"Aristida adscensionis","NA",0.05
"E5P",1927,"Bouteloua aristidoides","NA",0.05
"E5P",1927,"Evolvulus arizonicus",3,"NA"
"E5P",1927,"Solanum elaeagnifolium",2,"NA"
"E5P",1927,"Sphaeralcea spp.",4,"NA"
"E5P",1927,"Unknown",1,"NA"
"E5P",1927,"Unknown Forb",6,"NA"
"E5P",1928,"Annual grass","NA",0.03
"E5P",1928,"Solanum elaeagnifolium",2,"NA"
"E5P",1928,"Sphaeralcea spp.",2,"NA"
"E5P",1928,"Unknown Forb",29,"NA"
"E5P",1929,"Aristida adscensionis","NA",0.04
"E5P",1929,"Bouteloua aristidoides","NA",0.04
"E5P",1929,"Evolvulus arizonicus",3,"NA"
"E5P",1929,"Solanum elaeagnifolium",2,"NA"
"E5P",1929,"Sphaeralcea spp.",9,"NA"
"E5P",1931,"Bouteloua aristidoides","NA",0.05
"E5P",1931,"Solanum elaeagnifolium",3,"NA"
"E5P",1931,"Sphaeralcea spp.",8,"NA"
"FH1",1922,"Evolvulus arizonicus",9,"NA"
"FH1",1922,"Sida abutifolia",33,"NA"
"FH1",1923,"Evolvulus arizonicus",5,"NA"
"FH1",1923,"Weed","NA",0.02
"FH1",1929,"Evolvulus arizonicus",1,"NA"
"FH1",1929,"Sphaeralcea spp.",2,"NA"
"FH1",1929,"Unknown",1,"NA"
"FH1",1930,"Evolvulus arizonicus",1,"NA"
"FH1",1930,"Sphaeralcea spp.",1,"NA"
"FH1",1930,"Unknown",1,"NA"
"FH1",1931,"Evolvulus arizonicus",7,"NA"
"FH1",1931,"Sphaeralcea spp.",5,"NA"
"FH1",1932,"Sphaeralcea spp.",1,"NA"
"FH1",1932,"Unknown",2,"NA"
"FH10",1922,"Evolvulus arizonicus",4,"NA"
"FH10",1922,"Sida abutifolia",7,"NA"
"FH10",1927,"Weed",5,"NA"
"FH10",1929,"Sphaeralcea spp.",6,"NA"
"FH10",1929,"Weed",10,"NA"
"FH10",1931,"Evolvulus arizonicus",1,"NA"
"FH10",1931,"Sphaeralcea spp.",4,"NA"
"FH11",1924,"Evolvulus arizonicus",3,"NA"
"FH11",1924,"Machaeranthera canescens",9,"NA"
"FH11",1927,"Eriogonum wrightii",3,"NA"
"FH11",1927,"Machaeranthera canescens",19,"NA"
"FH11",1927,"Sphaeralcea spp.",1,"NA"
"FH11",1928,"Annual grass","NA","t"
"FH11",1928,"Unknown Forb",8,"NA"
"FH11",1929,"Aristida adscensionis","NA","t"
"FH11",1929,"Bouteloua aristidoides","NA","t"
"FH11",1929,"Machaeranthera canescens",4,"NA"
"FH11",1930,"Machaeranthera canescens",3,"NA"
"FH11",1931,"Machaeranthera canescens",3,"NA"
"FH11",1931,"Sphaeralcea spp.",2,"NA"
"FH12",1923,"Weed","NA",0.03
"FH12",1924,"Eriogonum wrightii",4,"NA"
"FH12",1924,"Unknown",17,"NA"
"FH12",1924,"Unknown Forb",5,"NA"
"FH12",1927,"Aristida adscensionis","NA",0.04
"FH12",1927,"Bouteloua aristidoides","NA",0.04
"FH12",1927,"Evolvulus arizonicus",1,"NA"
"FH12",1927,"Unknown Forb",1,"NA"
"FH12",1927,"Weed",6,"NA"
"FH12",1928,"Annual grass","NA",0.1
"FH12",1928,"Eriogonum wrightii",1,"NA"
"FH12",1928,"Unknown Forb",12,"NA"
"FH12",1929,"Aristida adscensionis","NA",0.05
"FH12",1929,"Bouteloua aristidoides","NA",0.05
"FH12",1929,"Sphaeralcea spp.",12,"NA"
"FH12",1929,"Unknown",13,"NA"
"FH12",1930,"Machaeranthera canescens",4,"NA"
"FH12",1930,"Unknown",6,"NA"
"FH12",1931,"Bouteloua aristidoides","NA",0.02
"FH12",1931,"Chloris virgata","NA","t"
"FH12",1931,"Eriogonum wrightii",2,"NA"
"FH12",1931,"Sphaeralcea spp.",28,"NA"
"FH12",1931,"Unknown",6,"NA"
"FH13",1922,"Aristida adscensionis","NA",0.01
"FH13",1922,"Bouteloua aristidoides","NA",0.01
"FH13",1922,"Chloris virgata","NA",0.01
"FH13",1922,"Sphaeralcea spp.",1,"NA"
"FH13",1923,"Eriogonum wrightii",2,"NA"
"FH13",1928,"Annual grass","NA",0.01
"FH13",1928,"Eriogonum wrightii",1,"NA"
"FH13",1928,"Unknown","NA",0.4
"FH13",1929,"Aristida adscensionis","NA",0.01
"FH13",1929,"Bouteloua aristidoides","NA",0.01
"FH13",1929,"Eriogonum wrightii",1,"NA"
"FH13",1929,"Sphaeralcea spp.",6,"NA"
"FH14",1923,"Aristida adscensionis","NA",0.02
"FH14",1923,"Bouteloua aristidoides","NA",0.02
"FH14",1927,"Eriogonum wrightii",1,"NA"
"FH14",1927,"Sphaeralcea spp.",1,"NA"
"FH14",1928,"Annual grass","NA","t"
"FH14",1928,"Eriogonum wrightii",2,"NA"
"FH14",1929,"Aristida adscensionis","NA",0.01
"FH14",1929,"Bouteloua aristidoides","NA",0.01
"FH14",1931,"Eriogonum wrightii",3,"NA"
"FH14",1931,"Sphaeralcea spp.",3,"NA"
"FH15",1924,"Unknown",1,"NA"
"FH15",1924,"Unknown Forb",10,"NA"
"FH15",1927,"Sphaeralcea spp.",2,"NA"
"FH15",1927,"Unknown Forb",29,"NA"
"FH15",1928,"Annual grass","NA",0.2
"FH15",1928,"Unknown Forb",10,"NA"
"FH15",1929,"Aristida adscensionis","NA",0.1
"FH15",1929,"Aristida adscensionis","NA",0.1
"FH15",1929,"Sphaeralcea spp.",4,"NA"
"FH15",1930,"Annual grass","NA",0.1
"FH15",1930,"Sphaeralcea spp.",4,"NA"
"FH15",1930,"Unknown Forb",31,"NA"
"FH15",1931,"Bouteloua aristidoides","NA",0.15
"FH15",1931,"Sphaeralcea spp.",6,"NA"
"FH15",1932,"Annual grass","NA",0.3
"FH15",1932,"Boerhavia purpurascens",1,"NA"
"FH16",1922,"Bouteloua spp.",10,"NA"
"FH16",1923,"Evolvulus arizonicus",3,"NA"
"FH16",1923,"Unknown",1,"NA"
"FH16",1924,"Evolvulus arizonicus",3,"NA"
"FH16",1924,"Unknown",1,"NA"
"FH16",1924,"Unknown Forb",2,"NA"
"FH16",1927,"Evolvulus arizonicus",1,"NA"
"FH16",1927,"Isocoma tenuisecta",1,"NA"
"FH16",1927,"Sphaeralcea spp.",3,"NA"
"FH16",1928,"Annual grass","NA",0.01
"FH16",1929,"Aristida adscensionis","NA",0.01
"FH16",1929,"Bouteloua aristidoides","NA",0.01
"FH16",1931,"Evolvulus arizonicus",1,"NA"
"FH16",1931,"Sphaeralcea spp.",1,"NA"
"FH16",1932,"Boerhavia purpurascens",1,"NA"
"FH17",1923,"Aristida adscensionis","NA",0.02
"FH17",1923,"Bouteloua parryi","NA",0.02
"FH17",1923,"Solanum elaeagnifolium",1,"NA"
"FH17",1923,"Unknown",1,"NA"
"FH17",1924,"Solanum elaeagnifolium",4,"NA"
"FH17",1924,"Unknown Forb",3,"NA"
"FH17",1927,"Aristida adscensionis","NA",0.01
"FH17",1927,"Bouteloua aristidoides","NA",0.01
"FH17",1927,"Machaeranthera canescens",1,"NA"
"FH17",1927,"Solanum elaeagnifolium",1,"NA"
"FH17",1927,"Unknown Forb",5,"NA"
"FH17",1928,"Annual grass","NA",0.07
"FH17",1928,"Solanum elaeagnifolium",2,"NA"
"FH17",1928,"Unknown Forb",17,"NA"
"FH17",1930,"Ambrosia artemisiifolia",3,"NA"
"FH17",1930,"Machaeranthera canescens",11,"NA"
"FH17",1930,"Solanum elaeagnifolium",3,"NA"
"FH17",1931,"Ambrosia artemisiifolia",2,"NA"
"FH17",1931,"Bouteloua aristidoides","NA",0.03
"FH17",1931,"Solanum elaeagnifolium",5,"NA"
"FH17",1931,"Unknown Forb",14,"NA"
"FH17",1932,"Ambrosia artemisiifolia",3,"NA"
"FH17",1932,"Solanum elaeagnifolium",2,"NA"
"FH17",1932,"Unknown Forb",22,"NA"
"FH2",1922,"Evolvulus arizonicus",12,"NA"
"FH2",1922,"Sida abutifolia",31,"NA"
"FH2",1923,"Evolvulus arizonicus",11,"NA"
"FH2",1923,"Weed","NA",0.01
"FH2",1927,"Sphaeralcea spp.",5,"NA"
"FH2",1928,"Evolvulus arizonicus",2,"NA"
"FH2",1929,"Evolvulus arizonicus",5,"NA"
"FH2",1929,"Sphaeralcea spp.",6,"NA"
"FH2",1931,"Evolvulus arizonicus",7,"NA"
"FH2",1931,"Sphaeralcea spp.",5,"NA"
"FH2",1932,"Evolvulus arizonicus",1,"NA"
"FH22",1926,"Evolvulus arizonicus",1,"NA"
"FH22",1926,"Sphaeralcea spp.",2,"NA"
"FH22",1927,"Aristida adscensionis","NA",0.05
"FH22",1927,"Evolvulus arizonicus",1,"NA"
"FH22",1927,"Sphaeralcea spp.",3,"NA"
"FH22",1928,"Annual grass","NA",0.05
"FH22",1929,"Aristida adscensionis","NA",0.05
"FH22",1929,"Bouteloua aristidoides","NA",0.05
"FH22",1929,"Sphaeralcea spp.",14,"NA"
"FH22",1930,"Annual grass","NA","t"
"FH22",1931,"Annual grass","NA","t"
"FH22",1931,"Sphaeralcea spp.",2,"NA"
"FH22",1931,"Unknown",2,"NA"
"FH22",1932,"Boerhavia purpurascens",5,"NA"
"FH22",1932,"Unknown",1,"NA"
"FH22",1934,"Annual grass","NA",0.05
"FH22",1934,"Sphaeralcea spp.",11,"NA"
"FH22",1934,"Unknown",5,"NA"
"FH23",1927,"Aristida adscensionis","NA",0.05
"FH23",1927,"Sphaeralcea spp.",1,"NA"
"FH23",1928,"Annual grass","NA",0.1
"FH23",1929,"Aristida adscensionis","NA",0.05
"FH23",1929,"Bouteloua aristidoides","NA",0.05
"FH23",1929,"Sphaeralcea spp.",2,"NA"
"FH23",1930,"Annual grass","NA","t"
"FH23",1931,"Sphaeralcea spp.",2,"NA"
"FH23",1931,"Unknown",4,"NA"
"FH23",1932,"Annual grass","NA","t"
"FH23",1934,"Amaranthus palmeri",2,"NA"
"FH23",1934,"Sphaeralcea spp.",6,"NA"
"FH23",1934,"Unknown",3,"NA"
"FH24",1927,"Ambrosia artemisiifolia",2,"NA"
"FH24",1927,"Aristida adscensionis","NA",0.05
"FH24",1928,"Ambrosia artemisiifolia",2,"NA"
"FH24",1928,"Annual grass","NA",0.06
"FH24",1929,"Aristida adscensionis","NA",0.05
"FH24",1929,"Bouteloua aristidoides","NA",0.05
"FH24",1929,"Sphaeralcea spp.",8,"NA"
"FH24",1929,"Unknown",1,"NA"
"FH24",1930,"Annual grass","NA","t"
"FH24",1930,"Sphaeralcea spp.",5,"NA"
"FH24",1931,"Annual grass","NA",0.01
"FH24",1931,"Sphaeralcea spp.",1,"NA"
"FH24",1932,"Ambrosia artemisiifolia",2,"NA"
"FH24",1934,"Annual grass","NA",0.1
"FH24",1934,"Tidestromia lanuginosa",2,"NA"
"FH24",1935,"Unknown",5,"NA"
"FH25",1926,"Aristida adscensionis",120,"NA"
"FH25",1927,"Ambrosia artemisiifolia",1,"NA"
"FH25",1927,"Aristida adscensionis","NA",0.05
"FH25",1927,"Unknown",1,"NA"
"FH25",1928,"Ambrosia artemisiifolia",2,"NA"
"FH25",1928,"Annual grass","NA",0.08
"FH25",1928,"Aristolochia watsonii",1,"NA"
"FH25",1929,"Aristida adscensionis","NA",0.05
"FH25",1929,"Bouteloua aristidoides","NA",0.05
"FH25",1929,"Evolvulus arizonicus",1,"NA"
"FH25",1929,"Sphaeralcea spp.",10,"NA"
"FH25",1931,"Sphaeralcea spp.",1,"NA"
"FH25",1931,"Unknown",1,"NA"
"FH25",1931,"Weed",1,"NA"
"FH26",1926,"Aristida adscensionis",200,"NA"
"FH26",1926,"Bouteloua aristidoides",20,"NA"
"FH26",1927,"Aristida adscensionis","NA",0.04
"FH26",1927,"Machaeranthera canescens",1,"NA"
"FH26",1928,"Annual grass","NA",0.1
"FH26",1928,"Evolvulus arizonicus",1,"NA"
"FH26",1929,"Evolvulus arizonicus",1,"NA"
"FH26",1929,"Isocoma tenuisecta",1,"NA"
"FH26",1929,"Sphaeralcea spp.",5,"NA"
"FH26",1929,"Unknown",12,"NA"
"FH26",1931,"Evolvulus arizonicus",1,"NA"
"FH26",1934,"Ambrosia artemisiifolia",3,"NA"
"FH26",1934,"Annual grass","NA","t"
"FH26",1934,"Sphaeralcea spp.",4,"NA"
"FH26",1934,"Unknown",2,"NA"
"FH27",1926,"Ambrosia artemisiifolia",3,"NA"
"FH27",1926,"Aristida adscensionis",360,"NA"
"FH27",1926,"Evolvulus arizonicus",4,"NA"
"FH27",1926,"Sphaeralcea spp.",2,"NA"
"FH27",1927,"Ambrosia artemisiifolia",5,"NA"
"FH27",1927,"Aristida adscensionis","NA",0.05
"FH27",1927,"Evolvulus arizonicus",2,"NA"
"FH27",1928,"Ambrosia artemisiifolia",4,"NA"
"FH27",1928,"Annual grass","NA",0.1
"FH27",1928,"Evolvulus arizonicus",2,"NA"
"FH27",1928,"Sphaeralcea spp.",1,"NA"
"FH27",1929,"Ambrosia artemisiifolia",3,"NA"
