PRISM Time Series Data
Location:  Lat: 32.6193   Lon: -106.7418   Elev: 1319m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2020-01
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2021-Aug-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1927-12,14.68,-5.0,2.9,10.8,-5.4,0.63,8.63
1928-01,0.00,-4.5,5.4,15.3,-7.6,1.29,13.59
1928-02,21.75,-2.7,5.9,14.5,-4.5,1.14,11.85
1928-03,0.00,-0.4,10.8,22.1,-6.2,2.12,22.39
1928-04,2.28,0.8,12.6,24.5,-7.0,2.66,26.57
1928-05,34.53,9.1,19.1,29.1,1.3,4.68,33.25
1928-06,0.00,11.8,23.6,35.3,1.1,6.60,50.04
1928-07,32.02,16.2,26.0,35.8,10.2,5.40,45.89
1928-08,68.94,15.9,24.0,32.0,13.5,2.69,32.04
1928-09,1.99,10.9,20.8,30.6,7.9,2.41,32.99
1928-10,58.95,7.0,16.6,26.1,4.2,2.00,25.56
1928-11,25.79,-0.4,8.0,16.4,-2.3,1.29,13.23
1928-12,3.01,-6.1,3.6,13.3,-6.6,0.67,11.24
1929-01,0.00,-7.6,3.5,14.6,-7.4,0.58,12.68
1929-02,4.29,-3.2,5.6,14.5,-7.3,1.70,12.55
1929-03,13.55,0.7,10.1,19.6,-5.9,2.64,18.40
1929-04,0.00,6.0,15.9,25.8,-6.9,5.31,29.23
1929-05,50.85,8.5,18.7,28.8,0.4,4.68,32.76
1929-06,0.36,14.5,24.9,35.2,1.2,8.99,49.60
1929-07,69.46,18.0,25.5,33.1,11.7,6.41,36.89
1929-08,71.72,16.1,23.9,31.8,12.6,3.45,32.43
1929-09,15.79,13.2,21.4,29.6,9.1,3.54,29.75
1929-10,29.81,7.4,15.1,22.8,3.7,2.60,19.94
1929-11,17.03,-3.3,5.7,14.6,-6.0,1.40,12.58
1929-12,5.37,-5.4,4.0,13.4,-7.3,0.97,11.65
1930-01,5.64,-4.8,3.7,12.3,-6.8,1.15,10.19
1930-02,2.07,-3.1,8.1,19.3,-6.5,1.36,18.33
1930-03,5.01,-1.2,8.7,18.5,-7.5,2.23,17.38
1930-04,1.31,5.7,16.5,27.4,-5.5,4.64,32.26
1930-05,2.98,6.9,17.5,28.1,-2.6,4.61,32.68
1930-06,11.70,15.0,25.1,35.2,2.0,9.15,49.00
1930-07,51.44,19.1,26.4,33.7,11.3,8.19,39.17
1930-08,45.04,16.9,25.4,33.9,11.7,5.12,39.22
1930-09,1.63,12.1,21.9,31.8,7.4,3.36,36.79
1930-10,7.65,6.7,16.2,25.7,3.1,2.45,25.26
1930-11,18.21,-1.0,7.8,16.6,-3.4,1.36,13.83
1930-12,17.37,-5.5,3.2,11.8,-6.6,0.86,9.88
1931-01,21.02,-4.7,3.9,12.5,-5.3,0.83,10.07
1931-02,38.96,0.4,7.5,14.6,-0.5,1.02,10.79
1931-03,0.00,-1.3,9.2,19.7,-6.9,2.10,18.87
1931-04,51.41,5.4,14.5,23.5,-1.7,3.75,23.18
1931-05,9.75,8.9,19.2,29.4,-3.2,6.19,35.67
1931-06,6.23,14.3,24.4,34.5,2.6,7.79,46.86
1931-07,31.45,18.5,26.7,34.8,10.6,8.00,42.97
1931-08,95.03,15.7,23.9,32.1,13.0,3.02,33.14
1931-09,48.78,15.9,23.7,31.4,8.9,6.93,34.67
1931-10,14.53,7.0,16.8,26.7,0.8,3.47,28.39
1931-11,18.97,-0.3,8.3,16.9,-3.4,1.64,14.49
1931-12,29.23,-4.7,3.1,11.0,-5.2,0.69,8.80
1932-01,11.59,-6.4,2.3,10.9,-6.8,0.77,9.05
1932-02,15.03,-0.5,8.5,17.4,-2.7,1.22,14.66
1932-03,3.27,-1.7,8.2,18.1,-8.0,2.23,17.00
1932-04,2.65,3.2,14.7,26.2,-6.7,3.80,29.77
1932-05,12.23,5.2,17.5,29.7,-3.0,3.60,36.32
1932-06,6.38,9.0,22.1,35.1,1.0,4.26,49.32
1932-07,48.21,17.7,26.0,34.4,10.6,6.67,41.76
1932-08,53.03,16.9,25.2,33.5,12.5,4.51,37.44
1932-09,42.75,11.6,20.3,29.0,8.7,2.67,29.07
1932-10,19.57,5.6,14.3,23.0,1.5,2.48,21.18
1932-11,0.00,-1.4,8.6,18.7,-5.7,2.03,17.20
1932-12,33.82,-6.8,2.2,11.1,-6.0,0.47,9.09
1933-01,8.31,-5.3,3.4,12.1,-7.1,1.00,10.24
1933-02,7.73,-5.6,4.5,14.5,-8.1,1.15,12.72
1933-03,0.00,2.2,11.8,21.4,-6.0,3.23,21.30
1933-04,4.68,2.1,12.2,22.2,-7.5,3.49,23.26
1933-05,1.05,5.2,17.0,28.7,-4.2,4.03,34.71
1933-06,67.65,13.9,23.7,33.5,5.0,6.45,42.87
1933-07,36.64,18.1,26.4,34.7,10.8,7.12,42.42
1933-08,50.41,17.2,25.4,33.6,11.2,5.85,38.73
1933-09,25.11,14.9,23.9,32.9,8.4,5.47,38.91
1933-10,9.69,6.9,16.8,26.7,2.9,2.12,27.35
1933-11,7.18,-2.0,9.1,20.1,-4.8,1.28,18.88
1933-12,0.00,-7.0,5.6,18.2,-7.5,0.82,17.14
1934-01,0.00,-9.3,3.0,15.3,-8.9,0.43,14.07
1934-02,3.91,-3.0,8.1,19.3,-5.9,1.33,18.05
1934-03,13.60,0.4,11.7,22.9,-5.8,2.37,23.36
1934-04,1.84,6.5,16.6,26.7,-5.4,6.18,30.90
1934-05,6.24,11.7,21.9,32.0,-1.9,8.71,42.26
1934-06,3.44,13.8,24.3,34.8,1.9,9.01,48.88
1934-07,21.32,18.5,27.5,36.4,9.8,8.72,48.75
1934-08,27.13,18.7,26.9,35.0,11.7,8.07,42.85
1934-09,2.72,12.4,22.3,32.1,7.4,4.17,37.37
1934-10,22.72,6.1,16.9,27.6,2.0,3.02,29.80
1934-11,6.87,-0.5,9.3,19.1,-2.8,1.68,17.03
1934-12,4.75,-3.4,5.9,15.2,-5.2,0.96,12.82
1935-01,9.82,-3.0,6.2,15.4,-4.7,1.09,12.87
1935-02,5.67,-2.7,6.3,15.3,-4.6,1.08,12.90
1935-03,2.02,1.4,11.1,20.8,-5.2,2.99,20.19
1935-04,1.82,5.5,15.1,24.6,-6.2,5.20,26.99
1935-05,18.20,8.3,17.3,26.2,-2.2,5.58,28.62
1935-06,25.00,14.7,24.4,34.1,1.8,9.05,46.14
1935-07,22.19,20.1,27.5,34.8,10.1,10.42,43.55
1935-08,98.25,18.4,25.4,32.4,13.8,5.02,33.87
1935-09,47.87,12.8,20.5,28.2,9.8,3.19,26.47
1935-10,0.00,6.2,16.5,26.8,1.1,2.84,28.36
1935-11,23.46,-2.4,7.9,18.1,-3.6,0.91,15.69
1935-12,17.91,-3.9,4.4,12.6,-5.1,0.89,10.18
1936-01,29.89,-5.0,4.3,13.7,-5.6,0.85,11.39
1936-02,4.31,-0.8,7.4,15.7,-5.4,1.99,13.62
1936-03,0.00,0.5,10.4,20.2,-6.3,2.51,19.62
1936-04,1.68,4.7,15.0,25.3,-5.9,4.60,28.25
1936-05,19.34,11.1,20.2,29.4,-0.7,6.94,35.04
1936-06,10.81,14.8,24.6,34.5,2.1,8.94,47.15
1936-07,30.73,17.8,25.7,33.7,10.8,6.88,39.48
1936-08,30.54,17.4,25.2,33.1,10.9,6.09,37.68
1936-09,71.50,13.8,21.1,28.4,10.7,3.11,26.18
1936-10,9.97,6.3,14.8,23.3,1.4,2.76,21.67
1936-11,21.90,-1.3,7.5,16.3,-3.4,1.15,13.63
1936-12,13.58,-3.8,4.5,12.8,-5.4,0.99,10.53
1937-01,0.00,-6.9,1.7,10.4,-8.9,1.03,9.34
1937-02,20.99,-2.3,6.1,14.5,-5.5,1.53,12.16
1937-03,13.86,-0.1,8.3,16.7,-6.9,2.63,15.15
1937-04,0.00,3.2,13.7,24.2,-7.0,3.83,26.40
1937-05,23.63,8.3,18.7,29.1,-1.4,5.18,34.66
1937-06,19.34,13.4,23.4,33.3,2.7,7.63,43.58
1937-07,10.37,17.5,26.2,35.0,9.8,7.12,44.59
1937-08,38.79,17.7,26.1,34.6,10.9,6.71,42.21
1937-09,34.48,14.2,22.1,30.0,9.2,4.41,31.23
1937-10,27.00,7.3,16.2,25.0,4.0,2.25,23.56
1937-11,0.36,-0.7,9.4,19.6,-4.5,1.75,18.07
1937-12,12.11,-2.7,5.3,13.3,-3.9,0.91,10.47
1938-01,15.24,-4.0,4.4,12.9,-3.6,0.56,10.07
1938-02,12.98,-0.0,8.1,16.1,-4.0,1.88,13.63
1938-03,4.94,1.2,10.3,19.5,-5.9,2.73,18.40
1938-04,0.00,3.7,13.8,23.9,-7.0,4.07,25.96
1938-05,1.26,8.3,18.3,28.4,-4.2,5.99,34.43
1938-06,26.46,16.1,24.5,33.0,4.6,9.28,41.90
1938-07,124.67,16.7,24.2,31.8,11.6,5.45,34.08
1938-08,4.03,15.6,24.0,32.4,10.2,4.67,37.17
1938-09,80.66,12.4,20.7,29.0,9.6,2.68,28.81
1938-10,5.04,6.1,15.9,25.7,1.2,2.72,26.46
1938-11,4.87,-5.0,6.0,17.1,-7.8,1.27,15.87
1938-12,27.24,-5.8,4.5,14.8,-6.0,0.56,12.72
1939-01,31.37,-5.6,4.0,13.5,-5.2,0.57,11.17
1939-02,1.44,-8.0,2.2,12.5,-10.8,1.05,11.73
1939-03,7.46,-0.9,9.8,20.6,-6.8,2.12,20.41
1939-04,2.53,3.5,14.4,25.2,-5.5,3.83,27.77
1939-05,0.71,7.6,18.7,29.9,-5.0,5.51,38.18
1939-06,3.92,13.5,24.2,34.9,-0.2,8.21,49.78
1939-07,30.14,17.5,25.8,34.2,10.3,6.88,41.59
1939-08,25.73,16.2,24.7,33.2,10.9,5.11,38.07
1939-09,52.29,13.4,22.2,31.0,8.6,4.12,34.11
1939-10,15.61,3.5,13.8,24.1,-0.7,2.29,24.30
1939-11,10.62,-1.2,8.0,17.3,-3.6,1.25,14.89
1939-12,9.34,-5.0,5.4,15.9,-7.2,1.13,14.32
1940-01,12.18,-7.0,2.7,12.4,-7.7,0.76,10.65
1940-02,24.55,-3.9,6.1,16.2,-5.5,1.00,14.23
1940-03,1.38,-0.1,10.4,20.9,-7.6,2.65,21.17
1940-04,7.67,3.2,14.0,24.8,-6.5,3.60,27.49
1940-05,27.94,9.1,19.4,29.8,-2.3,5.75,36.69
1940-06,34.55,14.2,23.5,32.8,3.0,8.17,41.89
1940-07,36.98,17.9,26.2,34.5,9.8,7.52,42.82
1940-08,21.41,16.3,24.8,33.4,10.5,5.46,38.53
1940-09,49.35,14.1,22.2,30.3,7.9,5.07,32.74
1940-10,29.95,6.7,15.6,24.5,0.5,3.35,24.47
1940-11,17.56,-1.2,7.5,16.1,-5.0,1.51,13.74
1940-12,7.09,-1.8,6.5,14.7,-5.0,1.47,12.42
1941-01,40.58,-2.4,4.3,11.0,-3.9,1.06,8.54
1941-02,20.38,0.4,8.1,15.7,-2.9,1.70,12.68
1941-03,27.48,1.6,9.3,16.9,-4.4,2.63,14.72
1941-04,29.28,3.8,11.8,19.9,-2.1,2.84,18.18
1941-05,22.44,10.0,19.0,27.9,1.7,5.03,30.88
1941-06,16.65,13.5,21.9,30.2,3.4,7.11,35.17
1941-07,46.40,17.4,25.5,33.6,11.5,5.77,38.09
1941-08,57.12,16.5,24.3,32.1,13.0,3.60,33.03
1941-09,117.59,14.2,21.8,29.5,10.5,3.67,28.38
1941-10,46.38,7.9,15.4,23.0,5.0,2.34,19.15
1941-11,11.35,0.3,9.2,18.0,-4.9,2.24,16.05
1941-12,21.61,-3.4,5.2,13.8,-4.6,0.92,11.24
1942-01,6.67,-4.4,4.8,14.0,-6.3,1.07,11.83
1942-02,10.47,-4.1,5.4,14.8,-7.3,1.37,13.23
1942-03,0.00,-2.4,8.0,18.3,-7.7,1.91,17.16
1942-04,23.43,4.7,14.3,23.9,-1.2,3.02,23.66
1942-05,0.00,6.3,18.1,29.9,-5.8,5.13,38.05
1942-06,0.00,13.6,24.7,35.9,0.2,8.02,52.24
1942-07,36.56,17.9,26.5,35.0,9.6,8.13,43.72
1942-08,59.60,17.5,24.9,32.3,13.3,4.40,33.24
1942-09,34.41,12.5,21.1,29.8,9.1,2.61,30.17
1942-10,19.85,6.6,15.3,24.0,4.4,1.68,21.39
1942-11,0.00,-0.2,10.8,21.7,-4.0,1.77,20.90
1942-12,26.72,-2.6,6.9,16.4,-3.3,0.73,14.14
1943-01,6.01,-2.8,6.3,15.4,-5.9,1.31,13.93
1943-02,0.00,-2.9,8.0,18.8,-7.2,1.66,17.79
1943-03,2.83,-0.4,10.4,21.1,-7.5,2.52,21.47
1943-04,0.00,4.8,16.5,28.2,-5.4,4.11,34.19
1943-05,3.96,9.3,20.3,31.4,-4.5,6.38,41.02
1943-06,39.95,15.3,24.8,34.3,3.7,7.89,45.91
1943-07,54.21,18.5,26.2,34.0,11.5,5.95,40.36
1943-08,18.45,18.6,27.2,35.9,11.4,6.83,45.93
1943-09,30.29,13.1,21.9,30.6,6.4,5.09,35.47
1943-10,2.12,4.0,14.7,25.4,-0.1,2.07,26.31
1943-11,26.21,-4.2,7.5,19.2,-7.0,1.21,18.35
1943-12,31.48,-4.4,4.0,12.4,-2.8,0.29,9.02
1944-01,13.27,-7.7,2.4,12.6,-6.5,0.53,10.79
1944-02,17.57,-2.9,6.5,15.9,-2.6,0.72,12.80
1944-03,2.42,-1.6,8.8,19.3,-7.3,1.80,18.79
1944-04,0.41,1.8,12.7,23.7,-8.1,3.21,25.52
1944-05,6.07,6.5,17.8,29.0,-3.7,4.60,34.79
1944-06,2.94,12.2,23.0,33.9,1.4,6.47,44.65
1944-07,53.82,17.1,26.0,35.0,9.8,6.03,43.58
1944-08,62.11,16.7,25.4,34.2,11.9,4.63,40.32
1944-09,34.73,12.4,21.0,29.7,8.6,2.97,30.52
1944-10,28.72,6.7,16.0,25.4,3.3,2.24,24.60
1944-11,32.12,-0.3,8.2,16.7,-1.9,1.10,14.64
1944-12,14.73,-6.4,3.8,14.1,-5.6,0.28,11.36
1945-01,10.56,-4.8,4.7,14.1,-5.4,0.65,11.88
1945-02,1.45,-3.4,7.5,18.5,-6.1,1.15,17.31
1945-03,7.28,-1.5,9.0,19.6,-7.3,1.93,19.31
1945-04,0.00,1.6,13.1,24.7,-7.2,2.90,27.70
1945-05,0.00,7.3,19.0,30.7,-5.6,5.77,40.25
1945-06,0.00,11.2,22.5,33.9,-3.7,7.89,47.79
1945-07,30.51,18.1,26.3,34.5,11.2,7.16,41.55
1945-08,50.24,17.8,26.2,34.7,12.6,5.00,41.15
1945-09,2.73,12.7,22.3,31.9,6.1,6.64,38.84
1945-10,44.58,6.9,15.6,24.4,4.2,1.99,21.98
1945-11,0.00,-3.7,8.4,20.4,-7.4,1.91,20.34
1945-12,3.77,-7.1,3.2,13.5,-7.5,0.85,11.73
1946-01,26.74,-5.0,3.0,11.0,-6.1,0.79,9.41
1946-02,0.00,-6.8,5.4,17.7,-9.0,0.90,17.37
1946-03,0.40,-0.8,10.1,21.0,-7.8,2.30,21.81
1946-04,0.00,5.2,16.5,27.8,-4.8,3.89,32.13
1946-05,7.81,7.4,18.2,29.1,-3.9,4.66,34.06
1946-06,4.88,14.7,25.3,36.0,1.4,8.36,49.78
1946-07,48.07,17.6,26.2,34.7,10.8,6.24,42.90
1946-08,69.90,17.7,25.9,34.0,13.1,4.47,38.77
1946-09,56.82,15.3,23.1,30.9,11.3,3.44,31.91
1946-10,19.85,6.2,15.7,25.1,3.6,1.86,23.25
1946-11,10.25,-2.8,7.4,17.7,-3.8,0.92,15.60
1946-12,11.72,-3.7,5.9,15.5,-2.5,0.45,12.53
1947-01,18.66,-5.8,2.5,10.9,-5.7,0.47,9.06
1947-02,1.04,-4.4,6.6,17.6,-5.7,0.89,15.56
1947-03,8.84,-0.1,10.1,20.2,-5.6,2.01,18.64
1947-04,0.00,3.1,13.9,24.7,-5.6,3.03,26.11
1947-05,8.57,9.7,20.3,30.9,-0.3,5.56,38.29
1947-06,14.34,13.0,23.7,34.3,2.2,7.13,46.56
1947-07,20.40,17.9,26.9,35.9,9.4,7.97,46.56
1947-08,59.85,17.7,25.4,33.1,12.7,5.01,36.16
1947-09,2.66,11.6,22.1,32.5,8.2,3.30,38.29
1947-10,3.42,5.3,16.4,27.5,3.2,1.60,28.60
1947-11,14.40,-2.2,6.9,16.0,-3.3,1.05,13.13
1947-12,11.16,-6.8,2.7,12.2,-5.0,0.12,9.86
1948-01,8.85,-8.4,2.7,13.7,-6.4,0.29,12.63
1948-02,33.05,-2.9,6.4,15.7,-3.2,0.70,13.86
1948-03,0.71,-1.3,7.8,16.9,-5.6,1.94,15.89
1948-04,1.79,4.2,15.7,27.1,-3.9,4.26,31.43
1948-05,4.70,8.6,19.8,31.0,-1.3,5.15,39.63
1948-06,25.61,15.5,25.5,35.4,5.7,7.46,49.18
1948-07,19.82,17.9,27.1,36.3,9.9,7.06,48.90
1948-08,29.50,17.1,25.9,34.8,11.3,5.21,42.50
1948-09,13.94,13.2,22.5,31.8,6.8,5.28,37.76
1948-10,10.11,7.0,15.5,23.9,4.1,2.12,21.72
1948-11,0.00,-5.5,5.5,16.5,-7.4,1.27,14.55
1948-12,29.24,-2.5,6.0,14.5,-4.1,1.17,11.45
1949-01,42.18,-2.4,2.9,8.2,-4.0,0.74,6.20
1949-02,11.87,-3.5,6.1,15.8,-4.1,0.60,13.58
1949-03,1.70,0.5,10.8,21.1,-5.5,2.33,21.13
1949-04,2.45,3.9,14.1,24.4,-2.8,2.44,25.48
1949-05,14.59,7.9,18.8,29.8,-1.7,4.92,36.63
1949-06,8.42,13.9,24.0,34.0,5.1,6.18,44.63
1949-07,59.58,18.8,26.5,34.3,12.6,5.84,40.25
1949-08,27.20,15.9,25.2,34.6,11.1,4.15,42.61
1949-09,63.86,14.0,22.1,30.2,11.6,2.17,30.13
1949-10,18.28,5.2,14.3,23.4,3.1,1.83,21.59
1949-11,0.00,-2.4,9.7,21.7,-4.1,1.25,21.25
1949-12,13.54,-5.7,3.7,13.1,-5.1,0.52,10.88
1950-01,1.61,-4.3,5.7,15.7,-4.8,0.92,13.37
1950-02,4.89,-3.2,8.0,19.1,-4.3,0.96,17.62
1950-03,0.00,-0.7,10.7,22.0,-8.7,2.68,23.40
1950-04,0.00,4.8,15.9,27.0,-5.6,4.49,31.84
1950-05,0.00,7.2,18.4,29.5,-6.6,5.94,37.22
1950-06,11.46,14.8,25.3,35.9,3.1,8.34,51.81
1950-07,77.04,17.8,25.5,33.3,12.9,4.18,37.08
1950-08,24.48,14.5,24.3,34.2,9.6,3.64,42.06
1950-09,40.33,11.9,21.1,30.3,7.8,3.13,32.87
1950-10,36.83,7.2,18.1,29.0,4.1,2.52,31.14
1950-11,0.00,-3.6,8.8,21.1,-4.8,1.34,20.94
1950-12,0.00,-6.9,5.7,18.3,-7.2,0.85,17.19
1951-01,7.05,-6.1,4.2,14.5,-8.3,1.22,13.43
1951-02,3.90,-4.6,5.8,16.1,-4.9,0.76,14.91
1951-03,10.75,-0.2,9.9,20.0,-6.7,2.45,19.70
1951-04,14.25,4.4,14.2,24.0,-3.2,3.49,25.33
1951-05,1.31,8.2,19.4,30.6,-2.6,5.34,40.08
1951-06,0.00,10.8,23.1,35.3,-2.7,7.19,52.84
1951-07,10.93,19.2,28.4,37.7,9.9,8.82,54.06
1951-08,25.52,17.9,26.4,34.9,11.6,6.05,43.27
1951-09,4.29,12.3,23.2,34.1,5.9,4.88,44.67
1951-10,28.17,5.9,16.4,26.8,2.0,2.77,28.65
1951-11,1.85,-1.2,8.1,17.4,-4.0,1.45,15.39
1951-12,9.02,-2.5,5.7,13.9,-4.1,1.19,11.76
1952-01,0.00,-2.3,7.0,16.4,-3.8,1.11,14.12
1952-02,12.52,-3.7,5.6,14.8,-6.5,1.32,13.11
1952-03,14.13,-1.2,8.0,17.2,-5.3,1.63,15.78
1952-04,11.52,5.5,14.6,23.8,-0.3,2.88,23.81
1952-05,12.40,9.5,19.6,29.7,0.7,5.52,35.65
1952-06,41.13,16.2,26.0,35.8,6.6,7.53,49.63
1952-07,37.57,17.2,26.1,35.0,11.3,5.45,43.64
1952-08,28.49,16.8,26.4,35.9,12.4,3.60,44.89
1952-09,8.31,10.9,21.7,32.6,5.7,3.96,40.53
1952-10,0.00,2.5,15.4,28.3,-2.4,2.77,32.73
1952-11,14.40,-2.5,6.8,16.1,-4.7,1.38,15.15
1952-12,5.85,-6.5,3.0,12.5,-5.9,0.41,10.42
1953-01,0.00,-5.4,6.0,17.4,-6.8,0.65,16.09
1953-02,15.31,-5.8,5.0,15.8,-8.3,0.89,15.09
1953-03,9.02,1.0,10.7,20.4,-3.8,1.95,19.63
1953-04,8.41,5.9,15.6,25.3,-4.7,4.74,27.84
1953-05,0.00,6.8,17.4,28.0,-4.8,5.47,34.71
1953-06,12.89,14.8,25.8,36.9,1.7,8.86,55.50
1953-07,24.82,17.9,27.1,36.2,12.5,4.80,46.73
1953-08,10.10,15.5,25.5,35.4,11.1,3.42,45.11
1953-09,0.00,10.5,21.9,33.3,2.6,5.11,43.38
1953-10,10.71,5.4,15.6,25.8,-0.2,3.23,27.49
1953-11,0.00,-2.2,8.8,19.7,-3.6,0.96,18.09
1953-12,1.88,-9.3,1.3,12.0,-9.1,0.50,11.03
1954-01,1.98,-5.8,5.1,16.1,-6.0,0.96,14.31
1954-02,0.00,-4.1,8.1,20.3,-7.4,1.52,20.04
1954-03,1.46,-0.6,9.8,20.2,-7.6,2.35,20.83
1954-04,0.00,7.1,17.7,28.3,-3.7,4.41,33.61
1954-05,19.78,10.1,19.8,29.4,0.2,5.51,34.95
1954-06,0.00,14.3,24.6,34.9,1.9,7.87,48.55
1954-07,19.85,17.8,26.6,35.4,10.6,6.67,45.15
1954-08,49.05,17.4,25.1,32.7,12.8,4.42,35.65
1954-09,47.10,14.9,23.7,32.4,9.0,4.82,37.31
1954-10,48.51,8.6,17.5,26.4,4.0,2.76,26.26
1954-11,0.00,-1.6,9.4,20.5,-4.8,1.55,19.42
1954-12,1.71,-5.3,5.0,15.3,-8.7,1.45,14.27
1955-01,21.08,-4.4,3.4,11.1,-6.6,0.98,9.29
1955-02,0.00,-6.8,4.2,15.1,-10.7,1.41,14.84
1955-03,8.49,-0.9,9.7,20.4,-7.8,2.43,21.32
1955-04,0.00,2.8,13.8,24.9,-9.3,4.16,28.40
1955-05,3.40,6.9,17.5,28.1,-2.5,3.90,33.15
1955-06,3.03,11.0,22.5,34.1,-0.4,5.81,47.30
1955-07,93.57,16.8,24.6,32.4,11.5,4.31,35.24
1955-08,17.94,16.3,24.4,32.5,13.3,3.18,34.04
1955-09,2.79,9.3,20.7,32.1,7.3,1.11,37.28
1955-10,36.35,3.4,15.2,26.9,1.4,1.24,28.16
1955-11,1.34,-3.3,7.8,18.9,-6.5,1.38,18.31
1955-12,0.00,-5.7,5.5,16.7,-6.3,0.69,15.07
1956-01,3.38,-4.6,6.2,17.1,-6.3,1.16,14.97
1956-02,7.92,-5.2,4.8,14.8,-8.0,1.33,14.20
1956-03,0.00,-1.1,10.6,22.4,-11.3,3.17,24.63
1956-04,0.00,1.1,12.7,24.4,-7.8,2.76,27.56
1956-05,0.00,7.0,19.7,32.4,-6.2,5.08,44.01
1956-06,3.18,14.6,25.7,36.8,4.7,6.84,53.22
1956-07,49.34,14.4,24.6,34.7,9.5,3.74,43.91
1956-08,21.23,12.4,23.1,33.8,9.6,2.77,40.89
1956-09,0.00,6.9,20.3,33.7,3.2,1.45,44.25
1956-10,1.68,4.0,15.8,27.6,-1.2,2.66,31.43
1956-11,0.00,-6.5,5.7,17.9,-9.9,1.09,17.50
1956-12,4.98,-5.9,4.0,13.9,-7.7,1.05,12.31
1957-01,8.60,-1.3,7.2,15.8,-3.8,1.38,12.93
1957-02,13.77,1.5,11.3,21.0,-1.2,1.47,18.91
1957-03,7.38,0.8,10.3,19.8,-4.8,2.02,18.79
1957-04,5.33,3.2,13.7,24.1,-5.1,3.24,25.83
1957-05,4.65,7.7,17.5,27.3,-1.4,4.11,31.07
1957-06,1.37,13.3,24.1,34.9,1.6,7.66,48.91
1957-07,39.12,17.4,26.9,36.4,10.4,5.92,48.77
1957-08,113.30,15.8,24.3,32.7,12.7,2.28,35.72
1957-09,6.16,9.9,20.4,30.9,5.2,2.98,35.84
1957-10,46.04,7.5,14.8,22.2,5.1,1.67,18.58
1957-11,19.01,-1.3,7.6,16.5,-2.7,0.81,13.68
1957-12,0.00,-7.8,3.6,15.0,-7.1,0.43,13.44
1958-01,20.25,-7.3,2.3,12.0,-6.0,0.20,10.06
1958-02,13.77,-2.9,7.4,17.8,-4.1,0.66,16.00
1958-03,52.91,-0.2,8.1,16.4,-2.6,0.87,14.39
1958-04,13.34,2.2,13.5,24.7,-5.0,2.47,27.94
1958-05,10.71,8.0,19.0,30.0,0.7,3.72,36.73
1958-06,16.27,14.5,25.5,36.4,6.2,5.64,51.87
1958-07,25.24,15.1,26.1,37.1,8.5,4.73,53.20
1958-08,47.57,14.5,25.1,35.6,11.7,2.03,45.73
1958-09,96.69,11.7,20.7,29.8,11.0,0.73,30.24
1958-10,52.08,5.4,14.2,23.0,5.3,0.39,20.23
1958-11,3.93,-0.3,9.1,18.5,-3.3,1.43,16.89
1958-12,0.00,-5.0,6.2,17.4,-6.1,0.86,15.84
1959-01,0.00,-8.4,4.0,16.5,-7.5,0.45,15.12
1959-02,3.00,-5.0,6.0,16.9,-6.0,0.64,15.54
1959-03,0.00,-4.6,8.2,21.0,-10.5,1.60,22.32
1959-04,1.10,4.1,15.1,26.2,-3.6,3.48,29.33
1959-05,2.64,6.4,18.0,29.6,-6.3,4.62,38.11
1959-06,2.40,13.5,24.3,35.1,3.1,6.57,49.19
1959-07,34.77,17.6,26.1,34.5,10.8,5.93,42.73
1959-08,94.12,17.6,25.1,32.6,13.8,3.45,34.47
1959-09,0.00,11.0,21.6,32.2,4.8,3.68,40.00
1959-10,13.61,5.3,15.7,26.2,1.5,2.35,27.26
1959-11,0.00,-2.1,8.6,19.3,-5.4,1.37,17.47
1959-12,8.36,-3.7,5.3,14.3,-5.2,0.86,11.81
1960-01,19.07,-6.0,2.6,11.3,-6.4,0.66,9.68
1960-02,2.15,-5.6,4.3,14.3,-8.0,1.07,13.31
1960-03,1.26,0.5,11.6,22.7,-7.2,2.62,24.33
1960-04,0.00,3.1,14.7,26.3,-8.9,3.97,31.74
1960-05,0.00,6.3,17.8,29.3,-5.5,4.48,37.10
1960-06,14.71,12.5,24.3,36.1,3.5,5.84,52.08
1960-07,44.12,13.7,23.5,33.4,10.4,2.67,40.01
1960-08,35.98,13.8,24.0,34.2,11.2,2.35,41.27
1960-09,4.89,12.9,22.0,31.2,7.3,4.44,35.15
1960-10,14.45,5.5,15.0,24.5,2.4,1.87,24.20
1960-11,2.21,-2.4,8.6,19.7,-5.0,1.11,18.23
1960-12,50.70,-8.2,-0.2,7.8,-5.2,0.00,6.32
1961-01,15.49,-4.3,3.8,11.9,-6.1,0.89,9.86
1961-02,0.00,-3.0,7.1,17.1,-6.6,1.38,16.25
1961-03,3.56,-0.0,10.2,20.5,-7.4,2.31,21.08
1961-04,0.00,3.4,14.3,25.2,-8.9,4.42,28.95
1961-05,0.00,7.5,18.9,30.4,-7.1,5.81,40.03
1961-06,17.46,13.8,24.0,34.2,1.5,7.76,46.93
