PRISM Time Series Data
Location:  Lat: 32.6193   Lon: -106.7418   Elev: 4327ft
"Climate variables: ppt,tmean,vpdmax"
Spatial resolution: 4km
Period: 1915-01 - 2017-01
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Sep-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F),vpdmax (hPa)
1981-05,1.08,66.3,33.12
1981-06,1.00,76.7,52.23
1981-07,1.56,80.1,45.14
1981-08,2.37,74.7,33.91
1981-09,2.02,70.1,31.92
1981-10,0.47,59.4,23.51
1981-11,0.55,50.2,21.64
1981-12,0.08,42.2,15.77
1982-01,0.84,39.5,13.05
1982-02,0.21,44.6,14.93
1982-03,0.01,50.6,21.18
1982-04,0.01,60.5,28.19
1982-05,0.39,63.0,34.79
1982-06,0.14,72.9,50.32
1982-07,2.41,79.9,45.60
1982-08,1.83,78.6,37.84
1982-09,1.60,71.5,31.15
1982-10,0.00,57.8,25.37
1982-11,0.63,47.0,14.34
1982-12,1.77,38.1,9.02
1983-01,0.93,39.5,9.65
1983-02,0.53,44.4,13.09
1983-03,0.15,49.7,17.85
1983-04,0.87,51.9,20.74
1983-05,0.32,61.1,30.63
1983-06,0.47,70.9,44.97
1983-07,0.79,78.0,46.70
1983-08,1.47,77.5,40.82
1983-09,1.16,74.0,37.51
1983-10,1.30,60.1,21.15
1983-11,1.51,49.3,15.33
1983-12,0.18,40.2,11.48
1984-01,0.51,40.3,11.19
1984-02,0.00,42.8,15.67
1984-03,0.29,50.8,20.93
1984-04,0.00,57.5,26.23
1984-05,1.01,70.8,41.33
1984-06,1.17,74.7,39.00
1984-07,1.06,78.2,40.67
1984-08,6.39,74.5,30.87
1984-09,0.31,69.2,34.02
1984-10,2.29,56.7,17.38
1984-11,0.92,46.2,17.25
1984-12,2.36,40.4,8.80
1985-01,1.44,38.0,8.92
1985-02,0.10,42.0,14.13
1985-03,0.51,50.4,19.21
1985-04,0.56,59.0,27.98
1985-05,0.07,65.7,37.34
1985-06,0.16,74.5,44.55
1985-07,0.61,77.8,49.18
1985-08,3.80,76.0,40.94
1985-09,2.26,67.9,31.30
1985-10,2.90,58.7,19.84
1985-11,0.17,48.1,17.19
1985-12,0.18,41.3,14.14
1986-01,0.00,39.8,15.24
1986-02,0.25,47.8,17.53
1986-03,0.26,51.4,21.35
1986-04,0.00,60.3,30.03
1986-05,0.70,65.1,35.90
1986-06,2.83,74.8,36.71
1986-07,2.05,76.4,35.89
1986-08,2.20,77.6,36.32
1986-09,0.44,69.2,30.53
1986-10,1.27,57.4,21.83
1986-11,2.21,46.2,12.23
1986-12,1.75,38.6,8.12
1987-01,0.30,38.4,12.07
1987-02,0.31,40.9,13.97
1987-03,0.25,45.5,17.19
1987-04,0.05,55.9,24.01
1987-05,0.10,63.0,31.02
1987-06,1.33,73.3,43.79
1987-07,0.57,76.6,44.90
1987-08,4.58,75.3,37.04
1987-09,0.48,67.8,29.48
1987-10,0.25,63.0,27.93
1987-11,0.28,45.0,15.96
1987-12,1.86,35.4,10.93
1988-01,0.15,36.7,10.73
1988-02,1.15,43.4,15.01
1988-03,0.12,47.4,21.28
1988-04,0.48,56.2,25.27
1988-05,0.16,64.7,36.41
1988-06,0.76,74.5,42.05
1988-07,2.50,77.4,37.82
1988-08,2.63,75.3,29.06
1988-09,0.63,67.7,32.37
1988-10,0.87,62.9,27.34
1988-11,0.10,48.6,21.00
1988-12,0.81,37.9,10.43
1989-01,0.46,38.2,11.89
1989-02,0.47,45.4,15.69
1989-03,0.62,53.3,25.44
1989-04,0.00,61.6,34.94
1989-05,0.25,67.3,41.19
1989-06,0.00,75.2,50.24
1989-07,1.45,79.4,43.79
1989-08,3.24,75.9,33.92
1989-09,1.59,70.1,32.53
1989-10,0.54,58.0,28.25
1989-11,0.07,46.9,19.74
1989-12,0.63,36.3,12.02
1990-01,0.21,37.2,12.23
1990-02,0.25,41.0,14.96
1990-03,0.50,49.8,19.33
1990-04,0.79,60.9,27.96
1990-05,0.54,65.8,35.35
1990-06,0.00,79.8,54.64
1990-07,2.69,77.2,35.52
1990-08,1.97,73.1,31.15
1990-09,1.76,71.1,28.33
1990-10,0.66,58.0,24.70
1990-11,0.62,48.6,16.54
1990-12,0.65,39.2,11.29
1991-01,0.22,38.5,9.24
1991-02,0.79,44.9,14.76
1991-03,0.30,47.3,17.35
1991-04,0.00,56.3,28.19
1991-05,0.10,66.1,38.52
1991-06,0.12,72.2,44.71
1991-07,3.71,76.2,33.27
1991-08,3.44,75.7,32.10
1991-09,1.22,68.1,26.11
1991-10,0.63,59.7,29.85
1991-11,0.58,45.1,14.17
1991-12,3.92,38.3,7.78
1992-01,1.36,35.7,7.89
1992-02,0.23,42.9,12.50
1992-03,0.45,48.9,19.27
1992-04,0.75,59.9,29.36
1992-05,3.50,64.9,26.87
1992-06,0.08,72.3,42.82
1992-07,1.10,77.3,43.91
1992-08,1.56,76.2,37.78
1992-09,0.93,71.2,37.24
1992-10,1.57,60.5,29.04
1992-11,0.00,42.8,15.52
1992-12,1.33,38.9,8.94
1993-01,1.62,43.0,9.60
1993-02,0.24,44.5,14.00
1993-03,0.23,49.6,21.57
1993-04,0.09,57.5,29.50
1993-05,0.22,65.6,34.51
1993-06,0.42,74.9,48.96
1993-07,3.33,78.6,43.47
1993-08,1.89,77.1,36.66
1993-09,0.30,68.9,32.65
1993-10,0.73,57.6,25.59
1993-11,0.34,45.3,15.66
1993-12,0.70,38.1,12.31
1994-01,0.20,39.0,14.05
1994-02,0.27,41.3,14.97
1994-03,0.36,50.8,20.87
1994-04,0.17,58.1,29.69
1994-05,0.30,66.9,36.70
1994-06,0.25,80.0,54.82
1994-07,1.90,81.9,51.05
1994-08,1.43,80.8,46.03
1994-09,1.11,71.7,34.92
1994-10,0.68,59.3,26.47
1994-11,1.27,49.3,15.46
1994-12,1.26,42.8,10.89
1995-01,0.89,40.5,11.10
1995-02,0.42,49.1,16.68
1995-03,0.04,52.0,21.08
1995-04,0.00,54.6,26.47
1995-05,0.03,65.5,36.79
1995-06,0.03,74.6,45.20
1995-07,1.24,78.5,47.53
1995-08,2.92,79.6,41.76
1995-09,1.80,71.1,32.15
1995-10,0.00,61.0,31.56
1995-11,0.08,51.5,19.78
1995-12,0.16,42.1,13.61
1996-01,0.31,41.3,15.10
1996-02,0.09,49.5,19.82
1996-03,0.00,49.8,21.84
1996-04,0.51,58.3,30.06
1996-05,0.00,71.1,46.70
1996-06,1.25,78.2,48.42
1996-07,2.92,80.6,39.48
1996-08,2.56,76.6,37.34
1996-09,3.63,68.8,27.38
1996-10,0.63,60.8,24.68
1996-11,0.10,50.0,18.94
1996-12,0.00,41.1,13.58
1997-01,0.80,37.7,10.40
1997-02,0.91,43.1,13.79
1997-03,0.38,52.4,23.38
1997-04,0.18,56.2,23.63
1997-05,1.39,68.2,36.17
1997-06,2.00,73.6,44.71
1997-07,1.95,78.9,44.63
1997-08,1.22,77.8,37.71
1997-09,1.47,74.3,34.50
1997-10,0.41,58.1,26.00
1997-11,0.54,47.7,16.24
1997-12,1.61,35.2,8.51
1998-01,0.08,39.7,12.66
1998-02,0.29,41.8,12.77
1998-03,0.45,47.4,18.90
1998-04,0.08,53.6,22.76
1998-05,0.00,67.2,39.82
1998-06,0.15,73.3,50.39
1998-07,2.11,80.1,41.47
1998-08,1.18,77.7,39.47
1998-09,0.31,75.2,37.86
1998-10,2.18,62.2,24.65
1998-11,0.54,50.2,17.79
1998-12,0.34,41.0,12.30
1999-01,0.30,43.8,15.52
1999-02,0.00,46.7,20.10
1999-03,0.61,51.9,22.79
1999-04,0.02,56.4,26.38
1999-05,0.06,66.4,37.88
1999-06,1.87,74.0,41.49
1999-07,3.00,78.5,35.83
1999-08,3.96,77.3,36.23
1999-09,1.37,71.3,30.72
1999-10,1.14,59.3,29.06
1999-11,0.00,50.9,22.36
1999-12,0.47,37.8,11.06
2000-01,0.00,43.5,16.55
2000-02,0.00,48.3,19.10
2000-03,0.28,51.0,21.14
2000-04,0.00,62.4,32.42
2000-05,0.00,72.3,45.50
2000-06,3.26,77.3,41.69
2000-07,1.18,80.6,44.61
2000-08,1.21,78.6,41.97
2000-09,0.07,73.8,41.90
2000-10,2.35,59.8,22.47
2000-11,1.33,42.1,11.90
2000-12,0.12,38.9,11.88
2001-01,0.79,37.4,9.70
2001-02,0.52,44.6,15.65
2001-03,0.14,49.7,18.95
2001-04,0.21,59.3,28.41
2001-05,0.28,69.1,39.98
2001-06,0.16,77.2,47.77
2001-07,1.07,81.1,44.25
2001-08,1.59,77.6,39.39
2001-09,0.79,72.2,35.84
2001-10,0.00,63.0,29.38
2001-11,0.24,49.8,17.25
2001-12,0.08,39.7,12.45
2002-01,0.27,42.2,13.61
2002-02,0.90,42.4,14.71
2002-03,0.00,50.1,22.57
2002-04,0.00,63.6,33.31
2002-05,0.23,67.9,39.62
2002-06,0.07,80.2,54.30
2002-07,4.85,79.6,41.06
2002-08,1.71,80.1,46.93
2002-09,0.43,73.0,35.52
2002-10,1.20,59.7,22.55
2002-11,0.33,46.6,15.92
2002-12,1.44,39.4,9.42
2003-01,0.00,44.1,15.25
2003-02,1.65,45.4,14.08
2003-03,0.14,50.6,19.54
2003-04,0.31,58.3,28.01
2003-05,0.00,69.3,40.22
2003-06,0.38,76.1,47.79
2003-07,0.62,82.7,51.31
2003-08,1.00,80.2,45.02
2003-09,0.27,73.4,37.69
2003-10,0.46,65.8,31.40
2003-11,0.63,50.4,18.83
2003-12,0.00,39.4,13.77
2004-01,0.29,42.5,11.58
2004-02,0.08,42.3,13.84
2004-03,1.02,54.5,22.13
2004-04,2.26,58.1,23.83
2004-05,0.00,68.7,39.38
2004-06,1.96,75.7,48.08
2004-07,2.68,79.9,45.71
2004-08,2.51,75.8,38.32
2004-09,2.13,69.9,32.16
2004-10,0.87,60.3,22.78
2004-11,1.67,46.2,12.68
2004-12,0.61,38.3,10.44
2005-01,1.00,44.8,12.00
2005-02,1.91,45.3,9.78
2005-03,0.31,49.4,17.14
2005-04,0.37,58.0,26.97
2005-05,1.27,67.7,37.56
2005-06,0.00,76.1,50.62
2005-07,0.61,82.0,52.50
2005-08,1.14,77.2,36.25
2005-09,0.67,74.4,38.62
2005-10,0.96,60.7,22.97
2005-11,0.00,49.6,21.55
2005-12,0.00,39.0,15.77
2006-01,0.03,40.1,17.01
2006-02,0.05,47.5,17.95
2006-03,0.00,50.0,21.62
2006-04,0.11,60.4,33.03
2006-05,0.77,69.2,43.98
2006-06,0.45,77.3,52.49
2006-07,1.02,80.8,43.49
2006-08,5.94,75.6,27.70
2006-09,3.34,66.9,24.80
2006-10,2.52,59.0,21.67
2006-11,0.13,50.2,19.66
2006-12,0.19,38.8,11.30
2007-01,1.18,37.2,8.69
2007-02,0.36,43.2,16.09
2007-03,0.10,50.7,23.49
2007-04,0.72,56.1,26.11
2007-05,1.84,65.9,31.21
2007-06,0.50,74.1,47.14
2007-07,2.16,77.8,41.01
2007-08,2.07,78.2,39.74
2007-09,1.36,72.4,34.33
2007-10,0.06,60.4,30.46
2007-11,0.35,49.9,20.67
2007-12,0.40,39.7,11.69
2008-01,0.11,37.5,11.99
2008-02,0.19,43.5,17.58
2008-03,0.00,49.0,23.89
2008-04,0.00,55.2,29.84
2008-05,0.26,65.3,38.27
2008-06,0.02,77.0,55.09
2008-07,6.94,76.7,32.90
2008-08,1.70,75.6,33.58
2008-09,2.98,67.2,26.53
2008-10,0.35,58.4,26.11
2008-11,0.30,46.0,18.56
2008-12,0.28,41.5,13.48
2009-01,0.10,39.8,15.22
2009-02,0.00,42.9,19.61
2009-03,0.05,51.0,22.96
2009-04,0.00,56.0,28.11
2009-05,0.82,68.7,39.90
2009-06,0.49,74.9,42.12
2009-07,1.84,80.9,48.50
2009-08,1.84,77.2,45.28
2009-09,1.75,69.2,31.51
2009-10,0.73,59.2,24.85
2009-11,1.03,46.8,18.94
2009-12,1.13,36.9,8.87
2010-01,1.16,36.8,10.01
2010-02,0.63,41.9,11.89
2010-03,0.11,46.4,18.47
2010-04,0.24,56.9,26.17
2010-05,0.00,63.9,37.37
2010-06,0.12,76.0,51.26
2010-07,2.56,78.1,39.00
2010-08,1.32,78.2,41.40
2010-09,0.55,73.6,36.76
2010-10,0.33,61.5,27.03
2010-11,0.00,43.7,18.21
2010-12,0.06,42.8,15.77
2011-01,0.00,35.2,13.76
2011-02,0.17,38.0,15.46
2011-03,0.00,52.7,26.57
2011-04,0.00,61.4,32.64
2011-05,0.00,63.6,36.82
2011-06,0.16,77.1,57.97
2011-07,2.16,82.3,49.37
2011-08,2.48,81.5,47.02
2011-09,0.50,73.8,40.00
2011-10,0.14,59.1,28.98
2011-11,0.32,46.3,15.92
2011-12,2.01,34.4,6.41
2012-01,0.37,41.4,13.84
2012-02,0.05,43.4,14.94
2012-03,0.08,49.0,24.18
2012-04,0.00,59.4,32.75
2012-05,0.50,66.6,38.46
2012-06,0.00,76.8,56.19
2012-07,1.03,79.2,42.72
2012-08,0.62,79.7,46.50
2012-09,0.70,71.2,35.95
2012-10,0.00,60.3,30.89
2012-11,0.03,49.5,20.77
2012-12,0.36,39.9,13.47
2013-01,0.16,34.5,10.50
2013-02,0.00,38.6,14.51
2013-03,0.00,49.6,23.52
2013-04,0.00,57.8,29.75
2013-05,0.05,65.7,37.31
2013-06,0.09,79.7,56.17
2013-07,3.97,79.0,39.04
2013-08,2.72,78.2,38.21
2013-09,2.96,70.9,28.97
2013-10,0.06,56.8,25.51
2013-11,0.24,47.3,15.83
2013-12,0.23,38.4,11.11
2014-01,0.00,37.6,14.82
2014-02,0.00,47.5,19.83
2014-03,0.34,51.2,20.80
2014-04,0.00,56.8,28.02
2014-05,0.00,63.1,34.83
2014-06,0.08,78.6,55.16
2014-07,2.33,80.8,45.33
2014-08,2.31,75.9,32.27
2014-09,2.64,71.8,26.02
2014-10,0.66,61.4,26.64
2014-11,0.37,47.7,15.51
2014-12,0.16,44.5,13.35
2015-01,1.72,39.8,8.91
2015-02,0.47,47.3,16.81
2015-03,0.39,52.6,20.75
2015-04,0.20,57.3,25.91
2015-05,1.73,63.6,32.95
2015-06,0.25,77.7,46.52
2015-07,4.75,79.6,41.59
2015-08,1.46,80.2,45.60
2015-09,0.12,74.1,36.93
2015-10,1.65,62.7,24.00
2015-11,0.89,48.5,15.21
2015-12,0.47,39.9,11.76
2016-01,0.31,38.0,11.15
2016-02,0.07,44.8,20.81
2016-03,0.00,52.9,25.75
2016-04,0.27,57.1,26.92
2016-05,0.31,65.1,34.03
2016-06,0.27,78.0,50.33
2016-07,0.10,82.4,55.06
2016-08,2.50,76.3,36.20
2016-09,1.78,71.9,32.26
2016-10,0.04,64.4,30.71
2016-11,0.80,51.8,16.42
2016-12,1.10,43.7,11.84
2017-01,2.03,43.4,10.46
